time,distance,spot,cycle,rgt,dh_fit_dy,pflags,h_sigma,w_surface_window_final,gt,n_fit_photons,h_mean,dh_fit_dx,rms_misfit,segment_id,geometry
2022-03-04 02:48:03.794761472,12255500.993061945,5,14,1097,0.0,0,0.00895001256009728,3.0,50,199,31.97900429645252,0.0008255469745930721,0.1262547222562427,611849,POINT (-148.6866131943361 70.0721576650763)
2022-03-04 02:48:03.795069184,12253049.381969465,6,14,1097,0.0,0,0.017086396256330523,3.0,60,50,28.128354053909774,-0.0007554464698110194,0.12080062486270833,611726,POINT (-148.6810177422713 70.09406283185118)
2022-03-04 02:48:03.795393280,12255390.9144226,3,14,1097,0.0,0,0.009525922506223165,3.0,30,186,29.797431079890973,-0.002321772481880676,0.12982764273578148,611843,POINT (-148.60162699050932 70.06954425665673)
2022-03-04 02:48:03.795769600,12252939.316522988,4,14,1097,0.0,0,0.02016826730340745,3.0,40,54,27.42196179331451,-0.0005319398046088426,0.14820254893932336,611721,POINT (-148.59598531055522 70.09144983804954)
2022-03-04 02:48:03.796168704,12255510.993061945,5,14,1097,0.0,0,0.009810349020895247,3.0,50,201,31.97429769240658,-0.00027957001246125374,0.13833937280474748,611849,POINT (-148.68664622401297 70.0720687454725)
2022-03-04 02:48:03.796484864,12253059.395059183,6,14,1097,0.0,0,0.019996926287515773,3.0,60,53,28.1051969455397,-0.0019332785158453043,0.145546374896814,611727,POINT (-148.68105025441542 70.09397377151248)
2022-03-04 02:48:03.796802816,12255400.927528804,3,14,1097,0.0,0,0.010296748783605264,3.0,30,180,29.79840700787206,0.0017453347515244818,0.13686450948650644,611843,POINT (-148.60165987135858 70.06945520724773)
2022-03-04 02:48:03.797179136,12252949.316522988,4,14,1097,0.0,0,0.02070455851708053,3.0,40,53,27.41653399327628,0.0038934385798806348,0.1504484443821685,611721,POINT (-148.59601880180222 70.09136093199633)
2022-03-04 02:48:03.797576960,12255521.006168995,5,14,1097,0.0,0,0.009649116010665053,3.0,50,196,32.014352010431956,0.0075994563590771995,0.1348360957301523,611850,POINT (-148.68667934196694 70.07197971173802)
2022-03-04 02:48:03.797898752,12253069.395059183,6,14,1097,0.0,0,0.01844640413348803,3.0,60,54,28.107765863592967,0.002437023760192748,0.13555250084396403,611727,POINT (-148.68108273564866 70.09388482756738)
2022-03-04 02:48:03.798213120,12255410.927528804,3,14,1097,0.0,0,0.011097018554479409,3.0,30,161,29.776598555556347,-0.008228218372876713,0.14078218281432409,611844,POINT (-148.60169269220341 70.06936627368509)
2022-03-04 02:48:03.798591232,12252959.329612002,4,14,1097,0.0,0,0.020128360186042527,3.0,40,55,27.443227020170664,0.0054550619910049385,0.14915568510549554,611722,POINT (-148.59605252580107 70.09127191762975)
2022-03-04 02:48:03.798986240,12255531.006168995,5,14,1097,0.0,0,0.008345381053059316,3.0,50,190,32.0821285603858,0.005778425207463189,0.11485151273637575,611850,POINT (-148.68671241104727 70.07189079372232)
2022-03-04 02:48:03.799313152,12253079.408149043,6,14,1097,0.0,0,0.015506152733810868,3.0,60,57,28.110386938342554,-0.003411544415742829,0.1164694689973822,611728,POINT (-148.68111538480886 70.0937957727855)
2022-03-04 02:48:03.799621888,12255420.94063515,3,14,1097,0.0,0,0.010949622005946806,3.0,30,158,29.754815034646626,0.001889418510156745,0.1376292863127294,611845,POINT (-148.60172557980633 70.069277224587)
2022-03-04 02:48:03.800002560,12252969.329612002,4,14,1097,0.0,0,0.01779860343665865,3.0,40,55,27.479518258011122,0.002085307218278472,0.1314441184055967,611722,POINT (-148.59608664473984 70.09118303836235)
2022-03-04 02:48:03.800395264,12255541.019276187,5,14,1097,0.0,0,0.009300928685983978,3.0,50,189,32.0941425749648,-0.0017818822340637957,0.1278008223089945,611851,POINT (-148.68674547135586 70.07180175701345)
2022-03-04 02:48:03.800720896,12253089.408149043,6,14,1097,0.0,0,0.017660690027250073,3.0,60,56,28.082245400279056,-0.0027217792901410177,0.13152255512482705,611728,POINT (-148.68114820579328 70.09370684337772)
2022-03-04 02:48:03.801026560,12255430.94063515,3,14,1097,0.0,0,0.009776497821580254,3.0,30,159,29.77070049823536,-0.001707400432498565,0.12313966569459,611845,POINT (-148.60175846341303 70.06918829371287)
2022-03-04 02:48:03.801417984,12252979.342701156,4,14,1097,0.0,0,0.01618402697006489,3.0,40,52,27.450693110574,-0.010779750422727299,0.11669437898823454,611723,POINT (-148.5961212647088 70.09109406222925)
2022-03-04 02:48:03.801801728,12255551.019276187,5,14,1097,0.0,0,0.009886796654885874,3.0,50,198,32.08836208010306,0.0019706732832723587,0.13869843089989453,611851,POINT (-148.68677845819835 70.0717128359219)
2022-03-04 02:48:03.802130944,12253099.421239043,6,14,1097,0.0,0,0.01835802549206127,3.0,60,57,28.05437900857092,-0.005497540625779861,0.13791253655285968,611729,POINT (-148.68118114157767 70.09361780101898)
2022-03-04 02:48:03.802435072,12255440.953741638,3,14,1097,0.0,0,0.00981788547823943,3.0,30,162,29.78730741458361,0.004017899066014339,0.12488959525255429,611846,POINT (-148.60179138101125 70.06909924590124)
2022-03-04 02:48:03.802831872,12252989.342701156,4,14,1097,0.0,0,0.022180309830778646,3.0,40,50,27.4417045894288,0.00546540042056167,0.15609743933811274,611723,POINT (-148.59615594585824 70.09100520695719)
2022-03-04 02:48:03.803214336,12255561.03238352,5,14,1097,0.0,0,0.010957042539492907,3.0,50,205,32.09630298555434,0.0005192946053760257,0.15654066052199844,611852,POINT (-148.68681148058852 70.07162379772454)
2022-03-04 02:48:03.803537408,12253109.421239043,6,14,1097,0.0,0,0.02034077631161322,3.0,60,56,28.07300358959351,0.0037849110001594052,0.15084896471043407,611729,POINT (-148.68121407250052 70.0935288761777)
2022-03-04 02:48:03.803840768,12255450.953741638,3,14,1097,0.0,0,0.010060157457580666,3.0,30,158,29.808413195741437,-0.0006921605563041509,0.126446230585073,611846,POINT (-148.60182424254643 70.06901031410081)
2022-03-04 02:48:03.804247808,12252999.355790451,4,14,1097,0.0,0,0.01988168386308531,3.0,40,52,27.523874721611108,0.0055248016332156685,0.1432480882567226,611724,POINT (-148.59619074667185 70.09091623855109)
2022-03-04 02:48:03.804624384,12255571.03238352,5,14,1097,0.0,0,0.010691754983491987,3.0,50,210,32.13823843974188,0.008772481492525661,0.15460620691428856,611852,POINT (-148.68684444141726 70.07153487564398)
2022-03-04 02:48:03.804946176,12253119.434329184,6,14,1097,0.0,0,0.02107977465510285,3.0,60,53,28.10542668277335,-0.005530870083618746,0.15330546136650794,611730,POINT (-148.68124708174668 70.09343983698149)
2022-03-04 02:48:03.805246976,12255460.966848265,3,14,1097,0.0,0,0.011298648155829061,3.0,30,150,29.81110822202068,0.001189315462790792,0.13809965380545797,611847,POINT (-148.60185713270775 70.06892126512702)
2022-03-04 02:48:03.805661696,12253009.355790451,4,14,1097,0.0,0,0.02006479678809228,3.0,40,47,27.481104260755245,-0.013088125970674637,0.13681359447358882,611724,POINT (-148.59622553736105 70.09082738796029)
2022-03-04 02:48:03.806036480,12255581.045490993,5,14,1097,0.0,0,0.009888103626708056,3.0,50,212,32.206995170953334,0.004039355100178625,0.14394121506917984,611853,POINT (-148.68687742257694 70.07144583537165)
2022-03-04 02:48:03.806352896,12253129.434329184,6,14,1097,0.0,0,0.020448927842184775,3.0,60,50,28.1386613092498,0.005752589470824865,0.14222807765506446,611730,POINT (-148.6812800756655 70.09335091468023)
2022-03-04 02:48:03.806652672,12255470.966848265,3,14,1097,0.0,0,0.012159751923675665,3.0,30,156,29.834066657232118,0.0030112254605109243,0.1517210089133181,611847,POINT (-148.60188996058042 70.06883233189792)
2022-03-04 02:48:03.807077376,12253019.368879888,4,14,1097,0.0,0,0.023623344489081478,3.0,40,48,27.491131522524565,0.019854723563512755,0.16308480571486525,611725,POINT (-148.5962603671923 70.09073842080832)
2022-03-04 02:48:03.807447296,12255591.045490993,5,14,1097,0.0,0,0.00984237525334746,3.0,50,209,32.227354608394194,0.002024587901601494,0.1422809820454711,611853,POINT (-148.68691034680282 70.07135691168445)
2022-03-04 02:48:03.807759616,12253139.447419466,6,14,1097,0.0,0,0.02139235869646872,3.0,60,40,28.222991609021847,0.008016344344216655,0.13469161626678133,611731,POINT (-148.68131311873552 70.0932618768658)
2022-03-04 02:48:03.808060672,12255480.979955034,3,14,1097,0.0,0,0.010241275121256315,3.0,30,171,29.816064900390067,-0.0073628748632128165,0.1339197712509923,611848,POINT (-148.6019228135176 70.06874328134595)
2022-03-04 02:48:03.808491264,12253029.368879888,4,14,1097,0.0,0,0.022899436400614304,3.0,40,52,27.55477110441453,-0.0031388740510917062,0.16392258044357894,611725,POINT (-148.59629510193062 70.09064956784718)
2022-03-04 02:48:03.808861184,12255601.058598608,5,14,1097,0.0,0,0.008551204898000446,3.0,50,210,32.23820172918668,0.0030383957599948368,0.12387944747891903,611854,POINT (-148.68694328682136 70.07126787036118)
2022-03-04 02:48:03.809165824,12253149.447419466,6,14,1097,0.0,0,0.021035719010714188,3.0,60,45,28.29599593864834,0.0080916896608814,0.14103554318223996,611731,POINT (-148.68134612768398 70.09317295536233)
2022-03-04 02:48:03.809466368,12255490.979955034,3,14,1097,0.0,0,0.009807789375741692,3.0,30,179,29.77898314223344,0.0008096287781529358,0.13121903830842266,611848,POINT (-148.60195560291436 70.06865434648726)
2022-03-04 02:48:03.809906432,12253039.381969465,4,14,1097,0.0,0,0.019763955454811664,3.0,40,51,27.50015704522641,-0.008293806594300982,0.14109937694037042,611726,POINT (-148.59632980348545 70.09056059522705)
2022-03-04 02:48:03.810273536,12255611.058598608,5,14,1097,0.0,0,0.008303412419723906,3.0,50,200,32.24734836929934,0.0013105564078191806,0.11722541991793516,611854,POINT (-148.68697615088377 70.07117894415467)
2022-03-04 02:48:03.810573824,12253159.460509889,6,14,1097,0.0,0,0.019355535701563426,3.0,60,48,28.339802819856892,-0.00021880151768341496,0.1317296216927191,611732,POINT (-148.68137918148645 70.09308391806191)
2022-03-04 02:48:03.810874112,12255500.993061945,3,14,1097,0.0,0,0.010589138738765174,3.0,30,170,29.800824192560754,0.0036791810781907673,0.13652273654765132,611849,POINT (-148.60198841328173 70.06856529412136)
2022-03-04 02:48:03.811320064,12253049.381969465,4,14,1097,0.0,0,0.018575894676509656,3.0,40,52,27.5294506955493,0.010189805121972427,0.1339364133030719,611726,POINT (-148.5963643532381 70.09047173437666)
2022-03-04 02:48:03.811689984,12255621.071706364,5,14,1097,0.0,0,0.008558545145158152,3.0,50,211,32.262829882279505,0.002258186314891452,0.12411234412647523,611855,POINT (-148.68700901641748 70.07108989975043)
2022-03-04 02:48:03.811980032,12253169.460509889,6,14,1097,0.0,0,0.022659877250689745,3.0,60,42,28.27675625399518,-0.012359904127916679,0.14635731904818788,611732,POINT (-148.68141219985984 70.0929949967241)
2022-03-04 02:48:03.812281344,12255510.993061945,3,14,1097,0.0,0,0.010707310626780655,3.0,30,149,29.800237623252702,-0.004814620142998358,0.13035587426634557,611849,POINT (-148.6020211599427 70.06847635744887)
